Date,open,high,low,close,Adj Close,Volume
2015-08-06,8585.8,8606.3,8551.5,8588.65,8588.65,134900
2015-08-07,8580.8,8595.95,8552.7,8564.6,8564.6,143700
2015-08-10,8577,8621.55,8497.8,8525.6,8525.6,123400
2015-08-11,8548.45,8556.25,8441.3,8462.35,8462.35,154400
2015-08-12,8445.7,8446.95,8337.95,8349.45,8349.45,190000
2015-08-13,8384.45,8429.5,8339.75,8355.85,8355.85,189200
2015-08-14,8402.35,8530.1,8381.2,8518.55,8518.55,155900
2015-08-17,8530.5,8530.6,8428.05,8477.3,8477.3,174700
2015-08-18,8505.85,8525.75,8433.6,8466.55,8466.55,153300
2015-08-19,8468.05,8520.45,8425.95,8495.15,8495.15,130500
2015-08-20,8471.05,8501.35,8359.75,8372.75,8372.75,184100
2015-08-21,8305.4,8322.2,8225.05,8299.95,8299.95,201300
2015-08-24,8055.95,8060.05,7769.4,7809,7809,312400
2015-08-25,7895.4,7925.4,7667.25,7880.7,7880.7,299100
2015-08-26,7865.25,7930.05,7777.1,7791.85,7791.85,216600
2015-08-27,7921.6,7963.6,7862.3,7948.95,7948.95,305000
2015-08-28,8053.7,8091.8,7961.65,8001.95,8001.95,195600
2015-08-31,8009.25,8043.6,7947.95,7971.3,7971.3,198200
2015-09-01,7907.95,7929.1,7746.5,7785.85,7785.85,184900
2015-09-02,7856.65,7862.55,7699.25,7717,7717,215300
2015-09-03,7774.45,7845.6,7754.05,7823,7823,155800
2015-09-04,7803.4,7804.9,7626.85,7655.05,7655.05,193600
2015-09-07,7685.85,7705.05,7545.9,7558.8,7558.8,141400
2015-09-08,7587.7,7720.9,7539.5,7688.25,7688.25,172200
2015-09-09,7805.85,7846.05,7764.55,7818.6,7818.6,208400
2015-09-10,7729.05,7819.85,7678.5,7788.1,7788.1,160300
2015-09-11,7833.8,7864.85,7759.9,7789.3,7789.3,136400
2015-09-14,7811.1,7879.95,7761.85,7872.25,7872.25,122800
2015-09-15,7867.35,7880,7799.75,7829.1,7829.1,136500
2015-09-16,7886.85,7913.9,7853.3,7899.15,7899.15,140000
2015-09-18,7967.45,8055,7955.85,7981.9,7981.9,241800
2015-09-21,7911.5,7987.9,7908.35,7977.1,7977.1,121800
2015-09-22,8014.8,8021.6,7787.75,7812,7812,168400
2015-09-23,7737.35,7882.9,7723.25,7845.95,7845.95,146700
2015-09-24,7838.4,7894.5,7804.1,7868.5,7868.5,202500
2015-09-28,7892.8,7893.95,7787.95,7795.7,7795.7,136300
2015-09-29,7725.7,7926.55,7691.2,7843.3,7843.3,240700
2015-09-30,7924.25,7957.7,7874.5,7948.9,7948.9,210700
2015-10-01,7992.05,8008.25,7930.65,7950.9,7950.9,156900
2015-10-05,8005.1,8128.9,8005.1,8119.3,8119.3,183100
2015-10-06,8180.45,8180.95,8096.5,8152.9,8152.9,178500
2015-10-07,8146.2,8188.9,8132.9,8177.4,8177.4,193900
2015-10-08,8196.75,8196.75,8105.85,8129.35,8129.35,171700
2015-10-09,8186.35,8232.2,8139.65,8189.7,8189.7,199700
2015-10-12,8231.5,8244.5,8128.2,8143.6,8143.6,199100
2015-10-13,8121.95,8150.25,8088.6,8131.7,8131.7,145900
2015-10-14,8102.4,8139.3,8096.35,8107.9,8107.9,138900
2015-10-15,8134.35,8190.55,8129.8,8179.5,8179.5,167200
2015-10-16,8193.65,8246.4,8147.65,8238.15,8238.15,156400
