DatetimeIndex,open,high,low,close
2017-11-15,10171.95,10175.45,10094.00,10118.05
2017-11-16,10152.90,10232.25,10139.20,10214.75
2017-11-17,10324.55,10343.60,10268.05,10283.60
2017-11-20,10287.20,10309.85,10261.50,10298.75
2017-11-21,10329.25,10358.70,10315.05,10326.90
2017-11-22,10350.80,10368.70,10309.55,10342.30
2017-11-23,10358.45,10374.30,10307.30,10348.75
2017-11-24,10366.80,10404.50,10362.25,10389.70
2017-11-27,10361.05,10407.15,10340.20,10399.55
2017-11-28,10387.90,10409.55,10355.20,10370.25
2017-11-29,10376.65,10392.95,10345.90,10361.30
2017-11-30,10332.70,10332.70,10211.25,10226.55
2017-12-01,10263.70,10272.70,10108.55,10121.80
2017-12-04,10175.05,10179.20,10095.70,10127.75
2017-12-05,10118.25,10147.95,10069.10,10118.25
2017-12-06,10088.80,10104.20,10033.35,10044.10
2017-12-07,10063.45,10182.65,10061.90,10166.70
2017-12-08,10198.45,10270.85,10195.25,10265.65
2017-12-11,10310.50,10329.20,10282.05,10322.25
2017-12-12,10324.90,10326.10,10230.20,10240.15
2017-12-13,10236.60,10296.55,10169.85,10192.95
2017-12-14,10229.30,10276.10,10141.55,10252.10
2017-12-15,10345.65,10373.10,10319.65,10333.25
2017-12-18,10263.10,10443.55,10074.80,10388.75
2017-12-19,10414.80,10472.20,10406.00,10463.20
2017-12-20,10494.40,10494.45,10437.15,10444.20
2017-12-21,10473.95,10473.95,10426.90,10440.30
2017-12-22,10457.30,10501.10,10448.25,10493.00
2017-12-26,10512.30,10545.45,10477.95,10531.50
2017-12-27,10531.05,10552.40,10469.25,10490.75
2017-12-28,10498.20,10534.55,10460.45,10477.90
2017-12-29,10492.35,10538.70,10488.65,10530.70
2018-01-01,null,null,null,null
2018-01-02,10477.55,10495.20,10404.65,10442.20
2018-01-03,10482.65,10503.60,10429.55,10443.20
2018-01-04,10469.40,10513.00,10441.45,10504.80
2018-01-05,10534.25,10566.10,10520.10,10558.85
2018-01-08,10591.70,10631.20,10588.55,10623.60
2018-01-09,10645.10,10659.15,10603.60,10637.00
2018-01-10,10652.05,10655.50,10592.70,10632.20
2018-01-11,10637.05,10664.60,10612.35,10651.20
2018-01-12,10682.55,10690.40,10597.10,10681.25
2018-01-15,10718.50,10782.65,10713.80,10741.55
2018-01-16,10761.50,10762.35,10687.85,10700.45
2018-01-17,10702.45,10803.00,10666.75,10788.55
2018-01-18,10873.40,10887.50,10782.40,10817.00
2018-01-19,10829.20,10906.85,10793.90,10894.70
2018-01-22,10883.20,10975.10,10881.40,10966.20
2018-01-23,10997.40,11092.90,10994.55,11083.70
2018-01-24,11069.35,11110.10,11046.15,11086.00
2018-01-25,11095.60,11095.60,11009.20,11069.65
2018-01-29,11079.35,11171.55,11075.95,11130.40
2018-01-30,11120.85,11121.10,11033.90,11049.65
2018-01-31,11018.80,11058.50,10979.30,11027.70
2018-02-01,11044.55,11117.35,10878.80,11016.90
2018-02-02,10938.20,10954.95,10736.10,10760.60
